# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
"# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result, these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>."
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 330         4.122       51.992      11.90       Hoek van Holland
# P         : Luchtdruk (in 0.1 hPa) herleid naar zeeniveau; tijdens de waarneming / Air pressure (in 0.1 hPa) reduced to mean sea level; at the time of observation
# STN,YYYYMMDD,H,    P
  330,20230921,    1, 9968
  330,20230921,    2, 9968
  330,20230921,    3, 9962
  330,20230921,    4, 9959
  330,20230921,    5, 9965
  330,20230921,    6, 9966
  330,20230921,    7, 9969
  330,20230921,    8, 9973
  330,20230921,    9, 9978
  330,20230921,   10, 9981
  330,20230921,   11, 9975
  330,20230921,   12, 9970
  330,20230921,   13, 9970
  330,20230921,   14, 9964
  330,20230921,   15, 9962
  330,20230921,   16, 9958
  330,20230921,   17, 9954
  330,20230921,   18, 9953
  330,20230921,   19, 9960
  330,20230921,   20, 9965
  330,20230921,   21, 9970
  330,20230921,   22, 9975
  330,20230921,   23, 9976
  330,20230921,   24, 9976
  330,20230922,    1, 9975
  330,20230922,    2, 9972
  330,20230922,    3, 9971
  330,20230922,    4, 9968
  330,20230922,    5, 9972
  330,20230922,    6, 9977
  330,20230922,    7, 9982
  330,20230922,    8, 9990
  330,20230922,    9, 9996
  330,20230922,   10,10001
  330,20230922,   11,10004
  330,20230922,   12,10009
  330,20230922,   13,10013
  330,20230922,   14,10015
  330,20230922,   15,10019
  330,20230922,   16,10021
  330,20230922,   17,10026
  330,20230922,   18,10035
  330,20230922,   19,10043
  330,20230922,   20,10048
  330,20230922,   21,10050
  330,20230922,   22,10054
  330,20230922,   23,10056
  330,20230922,   24,10062
  330,20230923,    1,10066
  330,20230923,    2,10070
  330,20230923,    3,10075
  330,20230923,    4,10080
  330,20230923,    5,10086
  330,20230923,    6,10095
  330,20230923,    7,10104
  330,20230923,    8,10115
  330,20230923,    9,10127
  330,20230923,   10,10135
  330,20230923,   11,10142
  330,20230923,   12,10151
  330,20230923,   13,10158
  330,20230923,   14,10165
  330,20230923,   15,10172
  330,20230923,   16,10180
  330,20230923,   17,10187
  330,20230923,   18,10192
  330,20230923,   19,10199
  330,20230923,   20,10207
  330,20230923,   21,10211
  330,20230923,   22,10216
  330,20230923,   23,10216
  330,20230923,   24,10219
  330,20230924,    1,10222
  330,20230924,    2,10223
  330,20230924,    3,10223
  330,20230924,    4,10228
  330,20230924,    5,10229
  330,20230924,    6,10232
  330,20230924,    7,10237
  330,20230924,    8,10240
  330,20230924,    9,10239
  330,20230924,   10,10237
  330,20230924,   11,10234
  330,20230924,   12,10232
  330,20230924,   13,10230
  330,20230924,   14,10224
  330,20230924,   15,10220
  330,20230924,   16,10216
  330,20230924,   17,10216
  330,20230924,   18,10212
  330,20230924,   19,10214
  330,20230924,   20,10211
  330,20230924,   21,10208
  330,20230924,   22,10202
  330,20230924,   23,10201
  330,20230924,   24,10200
  330,20230925,    1,10199
  330,20230925,    2,10194
  330,20230925,    3,10191
  330,20230925,    4,10194
  330,20230925,    5,10196
  330,20230925,    6,10199
  330,20230925,    7,10204
  330,20230925,    8,10203
  330,20230925,    9,10206
  330,20230925,   10,10209
  330,20230925,   11,10209
  330,20230925,   12,10215
  330,20230925,   13,10217
  330,20230925,   14,10216
  330,20230925,   15,10215
  330,20230925,   16,10218
  330,20230925,   17,10219
  330,20230925,   18,10221
  330,20230925,   19,10220
  330,20230925,   20,10223
  330,20230925,   21,10223
  330,20230925,   22,10221
  330,20230925,   23,10220
  330,20230925,   24,10215
  330,20230926,    1,10218
  330,20230926,    2,10211
  330,20230926,    3,10209
  330,20230926,    4,10205
  330,20230926,    5,10200
  330,20230926,    6,10202
  330,20230926,    7,10200
  330,20230926,    8,10200
  330,20230926,    9,10197
  330,20230926,   10,10196
  330,20230926,   11,10192
  330,20230926,   12,10189
  330,20230926,   13,10187
  330,20230926,   14,10181
  330,20230926,   15,10181
  330,20230926,   16,10178
  330,20230926,   17,10181
  330,20230926,   18,10187
  330,20230926,   19,10186
  330,20230926,   20,10190
  330,20230926,   21,10192
  330,20230926,   22,10191
  330,20230926,   23,10191
  330,20230926,   24,10194
