MONSTER_IDENTIFICATIE;MEETPUNT_IDENTIFICATIE;LOCATIE_CODE;TYPERING_OMSCHRIJVING;TYPERING_CODE;GROOTHEID_OMSCHRIJVING;GROOTHEID_ CODE;PARAMETER_OMSCHRIJVING;PARAMETER_ CODE;CAS_NR;EENHEID_CODE;HOEDANIGHEID_OMSCHRIJVING;HOEDANIGHEID_CODE;COMPARTIMENT_OMSCHRIJVING;COMPARTIMENT_CODE;WAARDEBEWERKINGSMETHODE_OMSCHRIJVING;WAARDEBEWERKINGSMETHODE_CODE;WAARDEBEPALINGSMETHODE_OMSCHRIJVING;WAARDEBEPALINGSMETHODE_CODE;BEMONSTERINGSSOORT_OMSCHRIJVING;BEMONSTERINGSSOORT_CODE;WAARNEMINGDATUM;WAARNEMINGTIJD (MET/CET);LIMIETSYMBOOL;NUMERIEKEWAARDE;ALFANUMERIEKEWAARDE;KWALITEITSOORDEEL_CODE;REFERENTIE;NOTITIE_CODE;NOTITIE_OMSCHRIJVING;STATUSWAARDE;OPDRACHTGEVENDE_INSTANTIE;MEETAPPARAAT_OMSCHRIJVING;MEETAPPARAAT_CODE;BEMONSTERINGSAPPARAAT_OMSCHRIJVING;BEMONSTERINGSAPPARAAT_CODE;PLAATSBEPALINGSAPPARAAT_OMSCHRIJVING;PLAATSBEPALINGSAPPARAAT_CODE;BEMONSTERINGSHOOGTE;REFERENTIEVLAK;EPSG;X;Y;ORGAAN_OMSCHRIJVING;ORGAAN_CODE;TAXON_NAME;GROEPERING_OMSCHRIJVING;GROEPERING_CODE;GROEPERING_KANAAL;GROEPERING_TYPE
;Eurogeul E13;EURGE13;;;Gem. hoogte van hoogste 1/3 deel v.d. golven (tijdsdomein);H1/3;;;;cm;;;Oppervlaktewater;OW;;;Freq/tijd analyse energie en richtingen, methode CIC/GLFPAR;other:F046;Steekbemonstering;SB;20-09-2023;00:00:00;;298;298;Normale waarde;;;;Ongecontroleerd;RIKZ_GOLVEN;Golfmeetboei;108;;;;;-999999999;NVT;25831;550488,856848901;5762316,17226552;;;;;;;
;Eurogeul E13;EURGE13;;;Gem. hoogte van hoogste 1/3 deel v.d. golven (tijdsdomein);H1/3;;;;cm;;;Oppervlaktewater;OW;;;Freq/tijd analyse energie en richtingen, methode CIC/GLFPAR;other:F046;Steekbemonstering;SB;20-09-2023;00:10:00;;301;301;Normale waarde;;;;Ongecontroleerd;RIKZ_GOLVEN;Golfmeetboei;108;;;;;-999999999;NVT;25831;550488,856848901;5762316,17226552;;;;;;;
;Eurogeul E13;EURGE13;;;Gem. hoogte van hoogste 1/3 deel v.d. golven (tijdsdomein);H1/3;;;;cm;;;Oppervlaktewater;OW;;;Freq/tijd analyse energie en richtingen, methode CIC/GLFPAR;other:F046;Steekbemonstering;SB;20-09-2023;00:20:00;;325;325;Normale waarde;;;;Ongecontroleerd;RIKZ_GOLVEN;Golfmeetboei;108;;;;;-999999999;NVT;25831;550488,856848901;5762316,17226552;;;;;;;
;Eurogeul E13;EURGE13;;;Gem. hoogte van hoogste 1/3 deel v.d. golven (tijdsdomein);H1/3;;;;cm;;;Oppervlaktewater;OW;;;Freq/tijd analyse energie en richtingen, methode CIC/GLFPAR;other:F046;Steekbemonstering;SB;20-09-2023;00:30:00;;323;323;Normale waarde;;;;Ongecontroleerd;RIKZ_GOLVEN;Golfmeetboei;108;;;;;-999999999;NVT;25831;550488,856848901;5762316,17226552;;;;;;;
;Eurogeul E13;EURGE13;;;Gem. hoogte van hoogste 1/3 deel v.d. golven (tijdsdomein);H1/3;;;;cm;;;Oppervlaktewater;OW;;;Freq/tijd analyse energie en richtingen, methode CIC/GLFPAR;other:F046;Steekbemonstering;SB;20-09-2023;00:40:00;;288;288;Normale waarde;;;;Ongecontroleerd;RIKZ_GOLVEN;Golfmeetboei;108;;;;;-999999999;NVT;25831;550488,856848901;5762316,17226552;;;;;;;
;Eurogeul E13;EURGE13;;;Gem. hoogte van hoogste 1/3 deel v.d. golven (tijdsdomein);H1/3;;;;cm;;;Oppervlaktewater;OW;;;Freq/tijd analyse energie en richtingen, methode CIC/GLFPAR;other:F046;Steekbemonstering;SB;20-09-2023;00:50:00;;277;277;Normale waarde;;;;Ongecontroleerd;RIKZ_GOLVEN;Golfmeetboei;108;;;;;-999999999;NVT;25831;550488,856848901;5762316,17226552;;;;;;;
;Eurogeul E13;EURGE13;;;Gem. hoogte van hoogste 1/3 deel v.d. golven (tijdsdomein);H1/3;;;;cm;;;Oppervlaktewater;OW;;;Freq/tijd analyse energie en richtingen, methode CIC/GLFPAR;other:F046;Steekbemonstering;SB;20-09-2023;01:00:00;;277;277;Normale waarde;;;;Ongecontroleerd;RIKZ_GOLVEN;Golfmeetboei;108;;;;;-999999999;NVT;25831;550488,856848901;5762316,17226552;;;;;;;
;Eurogeul E13;EURGE13;;;Gem. hoogte van hoogste 1/3 deel v.d. golven (tijdsdomein);H1/3;;;;cm;;;Oppervlaktewater;OW;;;Freq/tijd analyse energie en richtingen, methode CIC/GLFPAR;other:F046;Steekbemonstering;SB;20-09-2023;01:10:00;;275;275;Normale waarde;;;;Ongecontroleerd;RIKZ_GOLVEN;Golfmeetboei;108;;;;;-999999999;NVT;25831;550488,856848901;5762316,17226552;;;;;;;
;Eurogeul E13;EURGE13;;;Gem. hoogte van hoogste 1/3 deel v.d. golven (tijdsdomein);H1/3;;;;cm;;;Oppervlaktewater;OW;;;Freq/tijd analyse energie en richtingen, methode CIC/GLFPAR;other:F046;Steekbemonstering;SB;20-09-2023;01:20:00;;290;290;Normale waarde;;;;Ongecontroleerd;RIKZ_GOLVEN;Golfmeetboei;108;;;;;-999999999;NVT;25831;550488,856848901;5762316,17226552;;;;;;;
;Eurogeul E13;EURGE13;;;Gem. hoogte van hoogste 1/3 deel v.d. golven (tijdsdomein);H1/3;;;;cm;;;Oppervlaktewater;OW;;;Freq/tijd analyse energie en richtingen, methode CIC/GLFPAR;other:F046;Steekbemonstering;SB;20-09-2023;01:30:00;;285;285;Normale waarde;;;;Ongecontroleerd;RIKZ_GOLVEN;Golfmeetboei;108;;;;;-999999999;NVT;25831;550488,856848901;5762316,17226552;;;;;;;
