# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
"# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result, these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>."
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 330         4.122       51.992      11.90       Hoek van Holland
# DD        : Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord; 90=oost; 180=zuid; 270=west; 0=windstil 990=veranderlijk. Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken / Mean wind direction (in degrees) during the 10-minute period preceding the time of observation (360=north; 90=east; 180=south; 270=west; 0=calm 990=variable)
# FH        : Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken / Hourly mean wind speed (in 0.1 m/s)
# STN,YYYYMMDD,H,   DD,   FH
  330,20230922,    1,  180,   70
  330,20230922,    2,  170,   70
  330,20230922,    3,  180,   70
  330,20230922,    4,  190,   80
  330,20230922,    5,  190,   80
  330,20230922,    6,  200,   90
  330,20230922,    7,  190,  100
  330,20230922,    8,  200,   90
  330,20230922,    9,  200,   90
  330,20230922,   10,  190,   90
  330,20230922,   11,  210,   90
  330,20230922,   12,  210,   80
  330,20230922,   13,  220,   70
  330,20230922,   14,  240,   60
  330,20230922,   15,  250,   50
  330,20230922,   16,  220,   20
  330,20230922,   17,  220,   30
  330,20230922,   18,  360,   30
  330,20230922,   19,  180,   40
  330,20230922,   20,  160,   30
  330,20230922,   21,  170,   40
  330,20230922,   22,  160,   50
  330,20230922,   23,  290,   80
  330,20230922,   24,  240,   50
  330,20230923,    1,  220,   50
  330,20230923,    2,  260,   60
  330,20230923,    3,  260,   70
  330,20230923,    4,  260,   80
  330,20230923,    5,  270,   80
  330,20230923,    6,  270,   70
  330,20230923,    7,  270,  100
  330,20230923,    8,  270,   90
  330,20230923,    9,  260,   90
  330,20230923,   10,  310,   90
  330,20230923,   11,  260,   80
  330,20230923,   12,  280,   90
  330,20230923,   13,  270,   80
  330,20230923,   14,  280,   90
  330,20230923,   15,  270,   80
  330,20230923,   16,  270,   80
  330,20230923,   17,  260,   70
  330,20230923,   18,  250,   60
  330,20230923,   19,  240,   50
  330,20230923,   20,  230,   40
  330,20230923,   21,  220,   40
  330,20230923,   22,  190,   50
  330,20230923,   23,  200,   60
  330,20230923,   24,  200,   70
  330,20230924,    1,  190,   60
  330,20230924,    2,  200,   60
  330,20230924,    3,  200,   60
  330,20230924,    4,  190,   60
  330,20230924,    5,  190,   70
  330,20230924,    6,  180,   70
  330,20230924,    7,  170,   70
  330,20230924,    8,  190,   70
  330,20230924,    9,  180,   80
  330,20230924,   10,  190,   90
  330,20230924,   11,  190,  100
  330,20230924,   12,  180,  100
  330,20230924,   13,  200,  100
  330,20230924,   14,  180,   90
  330,20230924,   15,  190,   90
  330,20230924,   16,  180,   90
  330,20230924,   17,  180,   80
  330,20230924,   18,  160,   70
  330,20230924,   19,  150,   70
  330,20230924,   20,  150,   60
  330,20230924,   21,  160,   60
  330,20230924,   22,  160,   70
  330,20230924,   23,  170,   80
  330,20230924,   24,  170,   70
  330,20230925,    1,  180,   80
  330,20230925,    2,  170,   80
  330,20230925,    3,  170,   90
  330,20230925,    4,  180,   80
  330,20230925,    5,  180,   80
  330,20230925,    6,  180,   90
  330,20230925,    7,  190,   80
  330,20230925,    8,  190,   80
  330,20230925,    9,  190,   70
  330,20230925,   10,  190,   70
  330,20230925,   11,  200,   60
  330,20230925,   12,  200,   60
  330,20230925,   13,  210,   50
  330,20230925,   14,  190,   40
  330,20230925,   15,  180,   40
  330,20230925,   16,  200,   40
  330,20230925,   17,  180,   40
  330,20230925,   18,  180,   30
  330,20230925,   19,  150,   30
  330,20230925,   20,  170,   30
  330,20230925,   21,  180,   30
  330,20230925,   22,  190,   30
  330,20230925,   23,  160,   30
  330,20230925,   24,  160,   30
  330,20230926,    1,  160,   30
  330,20230926,    2,  150,   40
  330,20230926,    3,  150,   30
  330,20230926,    4,  150,   30
  330,20230926,    5,  130,   30
  330,20230926,    6,  150,   40
